FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
Troy,Brown,Jr,SF,MIN,76,24.5,0.43,0.872,1.4,4.1,1.3,0.8,0.2,0.6,7.1
Kendrick,Nunn,,G,WAS,70,13.8,0.424,0.854,1.1,1.6,1.3,0.4,0.1,0.9,7.1
Kevon,Looney,,F,GSW,82,23.9,0.63,0.606,0,9.3,2.5,0.6,0.6,0.5,7
Xavier,Tillman,,F,MEM,61,19.3,0.614,0.551,0.1,5,1.6,1,0.5,0.7,7
Daniel,Theis,,C,IND,7,15.6,0.477,0.417,0.3,3.1,1.3,0.3,0.9,0.4,7
Chance,Comanche,,C,POR,1,21,0.6,0.25,0,3,0,0,1,0,7
Joshua,Primo,,G,LAC,4,23.3,0.346,0.778,0.8,3.3,4.5,0.3,0.5,2.8,7
Eugene,Omoruyi,,F,WAS,40,16.1,0.443,0.68,0.6,2.8,0.7,0.7,0.1,0.9,7
Sviatoslav,Mykhailiuk,,SG,BOS,32,14.6,0.445,0.667,1.3,1.7,1.7,0.5,0.1,0.8,6.9
Ben,Simmons,,PG,BKN,42,26.3,0.566,0.439,0,6.3,6.1,1.3,0.6,2.3,6.9
Romeo,Langford,,SG,SAS,43,19.6,0.467,0.696,0.4,2.7,1.2,0.6,0.3,0.7,6.9
Willy,Hernangomez,,C,NOR,38,12.1,0.527,0.779,0.1,4.7,0.9,0.4,0.3,1,6.9
Joe,Ingles,,SG,ORL,46,22.7,0.435,0.857,1.8,2.8,3.3,0.7,0.1,1.2,6.9
Jae,Crowder,,PF,MIL,18,18.9,0.479,0.833,1.3,3.8,1.5,0.7,0.3,0.4,6.9
Cory,Joseph,,PG,GSW,62,19.8,0.427,0.792,1.1,1.7,3.5,0.5,0.1,0.9,6.9
Ty,Jerome,,SG,CLE,45,18.1,0.488,0.927,0.8,1.7,3,0.5,0.1,0.7,6.9
Aaron,Wiggins,,SG,OKC,70,18.5,0.512,0.831,0.7,3,1.1,0.6,0.2,0.8,6.8
Jeremiah,Robinson-Earl,,PF,OKC,43,18.9,0.444,0.833,0.9,4.2,1,0.6,0.3,0.4,6.8
Larry,Nance,Jr,PF,NOR,65,21.2,0.61,0.696,0.2,5.4,1.8,0.9,0.6,0.6,6.8
Will,Barton,,G,TOR,56,17.7,0.379,0.787,1.2,2.4,2,0.5,0.2,0.9,6.8
Justise,Winslow,,PF,POR,29,26.8,0.409,0.714,0.5,5,3.4,1,0.4,1.5,6.8
